issue | commit | idx | status | final | first crash | time to find first crash
65 | 8c27b12 | 240828-1933 | bug_^heap-buffer-overflow | B | fuzzout_8c27b12_after/default/queue/id:000000,time:0,execs:0,orig:INPUT_8c27b12_1_gpt-4o-2024-08-06 | 0
65 | 8c27b12 | 240828-1937 | bug_^heap-buffer-overflow | B | fuzzout_8c27b12_after/default/crashes/id:000000,sig:06,src:000001,time:17634,execs:2064,op:arith8,pos:7,val:+11 | 17634
65 | 8c27b12 | 240828-1942 | bug_^heap-buffer-overflow | B | fuzzout_8c27b12_after/default/queue/id:000000,time:0,execs:0,orig:INPUT_8c27b12_1_gpt-4o-2024-08-06 | 0
65 | 8c27b12 | 240828-1945 | bug_^heap-buffer-overflow | B | fuzzout_8c27b12_after/default/crashes/id:000000,sig:06,src:001043+000064,time:7080533,execs:447078,op:splice,rep:4 | 7080533
65 | 8c27b12 | 240828-1950 | bug_^heap-buffer-overflow | B | fuzzout_8c27b12_after/default/crashes/id:000000,sig:06,src:000000,time:178135,execs:11922,op:havoc,rep:2 | 178135
141 | 832e069 | 240828-1933 | bug_heap-buffer-overflow^heap-buffer-overflow | B | fuzzout_832e069_after/default/crashes/id:000000,sig:06,src:001970,time:54122926,execs:2932829,op:havoc,rep:1 | 54122926
141 | 832e069 | 240828-1937 | bug_heap-buffer-overflow^heap-buffer-overflow | B | fuzzout_832e069_after/default/crashes/id:000000,sig:06,src:001552,time:15963219,execs:892007,op:havoc,rep:1 | 15963219
141 | 832e069 | 240828-1942 | bug_heap-buffer-overflow^heap-buffer-overflow | B | fuzzout_832e069_after/default/crashes/id:000000,sig:06,src:001216,time:9239877,execs:541361,op:havoc,rep:4 | 9239877
141 | 832e069 | 240828-1945 | bug_heap-buffer-overflow^ | X | fuzzout_832e069_after/default/queue/id:000000,time:0,execs:0,orig:INPUT_832e069_1_gpt-4o-2024-08-06 | 0
141 | 832e069 | 240828-1950 | bug_heap-buffer-overflow^heap-buffer-overflow | B | fuzzout_832e069_after/default/crashes/id:000000,sig:06,src:001778,time:9000271,execs:499390,op:havoc,rep:2 | 9000271
145 | 4c7f6be | 240828-1933 | bug_^heap-buffer-overflow | B | fuzzout_4c7f6be_after/default/crashes/id:000000,sig:06,src:000000,time:7364,execs:997,op:flip32,pos:18 | 7364
145 | 4c7f6be | 240828-1937 | bug_^global-buffer-overflow | B | fuzzout_4c7f6be_after/default/crashes/id:000000,sig:06,src:000003,time:1103,execs:153,op:quick,pos:19 | 1103
145 | 4c7f6be | 240828-1942 | bug_^heap-buffer-overflow | B | fuzzout_4c7f6be_after/default/crashes/id:000000,sig:06,src:000003,time:3529,execs:354,op:flip2,pos:16 | 3529
145 | 4c7f6be | 240828-1945 | bug_^global-buffer-overflow | B | fuzzout_4c7f6be_after/default/crashes/id:000000,sig:06,src:000001,time:561,execs:73,op:quick,pos:10 | 561
145 | 4c7f6be | 240828-1950 | bug_^global-buffer-overflow | B | fuzzout_4c7f6be_after/default/crashes/id:000000,sig:06,src:000000,time:23397,execs:1517,op:arith8,pos:17,val:-6 | 23397
166 | 3f71a1c | 240828-1933 | none | D | fuzzout_3f71a1c_after/default/queue/id:000929,src:000151,time:3724391,execs:275295,op:havoc,rep:1,+cov | 
166 | 3f71a1c | 240828-1937 | none | D | fuzzout_3f71a1c_after/default/queue/id:000964,src:000001,time:2507145,execs:182325,op:havoc,rep:2,+cov | 
166 | 3f71a1c | 240828-1942 | none | D | fuzzout_3f71a1c_after/default/queue/id:000004,time:0,execs:0,orig:INPUT_3f71a1c_5_gpt-4o-2024-08-06 | 
166 | 3f71a1c | 240828-1945 | none | N |  | 
166 | 3f71a1c | 240828-1950 | none | N |  | 
