issue | commit | idx | status | final | first crash | time to find first crash
5013 | 3686410 | 1 | none | X | baselines/waflgo_jerryscript_3686410_1/queue/id:000001,orig:CVE-2016-10133 | 
5013 | 3686410 | 2 | none | X | baselines/waflgo_jerryscript_3686410_2/queue/id:000001,orig:CVE-2016-10133 | 
5013 | 3686410 | 3 | none | X | baselines/waflgo_jerryscript_3686410_3/queue/id:000001,orig:CVE-2016-10133 | 
5013 | 3686410 | 4 | none | X | baselines/waflgo_jerryscript_3686410_4/queue/id:000001,orig:CVE-2016-10133 | 
5013 | 3686410 | 5 | none | X | baselines/waflgo_jerryscript_3686410_5/queue/id:000001,orig:CVE-2016-10133 | 
5138 | 95cc5e9 | 1 | none | X | baselines/waflgo_jerryscript_95cc5e9_1/queue/id:000001,orig:CVE-2016-10133 | 
5138 | 95cc5e9 | 2 | none | X | baselines/waflgo_jerryscript_95cc5e9_2/queue/id:000001,orig:CVE-2016-10133 | 
5138 | 95cc5e9 | 3 | none | X | baselines/waflgo_jerryscript_95cc5e9_3/queue/id:000001,orig:CVE-2016-10133 | 
5138 | 95cc5e9 | 4 | none | X | baselines/waflgo_jerryscript_95cc5e9_4/queue/id:000001,orig:CVE-2016-10133 | 
5138 | 95cc5e9 | 5 | none | X | baselines/waflgo_jerryscript_95cc5e9_5/queue/id:000001,orig:CVE-2016-10133 | 
5117 | d7e2125 | 1 | none | X | baselines/waflgo_jerryscript_d7e2125_1/queue/id:000001,orig:CVE-2016-10133 | 
5117 | d7e2125 | 2 | none | X | baselines/waflgo_jerryscript_d7e2125_2/queue/id:000001,orig:CVE-2016-10133 | 
5117 | d7e2125 | 3 | none | X | baselines/waflgo_jerryscript_d7e2125_3/queue/id:000001,orig:CVE-2016-10133 | 
5117 | d7e2125 | 4 | none | X | baselines/waflgo_jerryscript_d7e2125_4/queue/id:000001,orig:CVE-2016-10133 | 
5117 | d7e2125 | 5 | none | X | baselines/waflgo_jerryscript_d7e2125_5/queue/id:000001,orig:CVE-2016-10133 | 
